date,n_open,n_new,n_closed
2006-10-26,1495,50,27
2006-10-27,1518,60,68
2006-10-28,1510,57,60
2006-10-29,1507,39,44
2006-10-30,1502,68,37
2006-10-31,1533,49,31
2006-11-01,1551,68,92
2006-11-02,1527,76,102
2006-11-03,1501,57,23
2006-11-04,1535,46,11
2006-11-05,1570,43,84
2006-11-06,1529,66,81
2006-11-07,1514,54,75
2006-11-08,1493,74,48
2006-11-09,1519,55,63
2006-11-10,1511,63,25
2006-11-11,1549,50,77
2006-11-12,1522,55,98
2006-11-13,1479,50,40
2006-11-14,1489,44,57
2006-11-15,1476,49,19
2006-11-16,1506,49,48
2006-11-17,1507,69,99
2006-11-18,1477,48,51
2006-11-19,1474,32,45
2006-11-20,1461,50,39
2006-11-21,1472,51,23
2006-11-22,1500,73,70
2006-11-23,1503,42,19
2006-11-24,1526,52,57
2006-11-25,1521,50,45
2006-11-26,1526,24,10
2006-11-27,1540,64,73
2006-11-28,1531,56,58
2006-11-29,1529,49,9
2006-11-30,1569,44,84
2006-12-01,1529,77,51
2006-12-02,1555,54,62
2006-12-03,1547,38,75
2006-12-04,1510,54,70
2006-12-05,1494,30,28
2006-12-06,1496,53,51
2006-12-07,1498,41,40
2006-12-08,1499,86,34
2006-12-09,1551,50,44
2006-12-10,1557,28,28
2006-12-11,1557,61,51
2006-12-12,1567,59,67
2006-12-13,1559,51,50
2006-12-14,1560,56,20
2006-12-15,1596,98,22
2006-12-16,1672,64,69
2006-12-17,1667,35,81
2006-12-18,1621,46,31
2006-12-19,1636,41,40
2006-12-20,1637,53,72
2006-12-21,1618,50,59
2006-12-22,1609,63,93
2006-12-23,1579,26,19
2006-12-24,1586,36,45
2006-12-25,1577,35,8
2006-12-26,1604,49,33
2006-12-27,1620,38,45
2006-12-28,1613,46,105
2006-12-29,1554,48,37
2006-12-30,1565,40,84
2006-12-31,1521,58,33
2007-01-01,1546,48,60
2007-01-02,1534,33,25
2007-01-03,1542,53,24
2007-01-04,1571,31,51
2007-01-05,1551,56,36
2007-01-06,1571,37,193
2007-01-07,1415,40,96
2007-01-08,1359,52,12
2007-01-09,1399,41,65
2007-01-10,1375,49,98
2007-01-11,1326,42,31
2007-01-12,1337,65,45
2007-01-13,1357,58,26
2007-01-14,1389,41,42
